"year","year_type","grid","squirrel_id","sex","cache_size_total","cache_size_new","cache_size_old","total_cones_tree","log_cache_size_new","log_cache_size_old","log_total_cones_tree"
2009,"non-mast","KL",10754,"F",387.135844707992,379.070514609909,8.06533009808317,93.163,5.94035680026834,2.2044572581145,4.54502732310718
2009,"non-mast","KL",10759,"F",116.664352187996,108.886728708796,7.77762347919973,93.163,4.69945009623601,2.17220569665728,4.54502732310718
2009,"non-mast","KL",10782,"M",9622.82374348552,7529.28494325659,2093.53880022894,93.163,8.92668816114792,7.64708866503238,4.54502732310718
2009,"non-mast","SU",10786,"M",14485.0737838465,13823.825798882,661.24798496457,38.197,9.53422122586861,6.49564008543644,3.66860021325556
2009,"non-mast","KL",10818,"F",1486.12058730361,979.293334986193,506.827252317416,93.163,6.88785184829138,6.23014133525357,4.54502732310718
2011,"post-mast","KL",10818,"F",8562.14897797118,0,8562.14897797118,0.037,0,9.05522327274606,0.0363319292473902
2009,"non-mast","SU",10833,"F",0,0,0,38.197,0,0,3.66860021325556
2012,"non-mast","SU",10878,"M",27965.9560200964,639.554087777672,27326.4019323187,36.241,6.46233356395045,10.2156452115537,3.61741030489474
2013,"non-mast","SU",10878,"M",19175.0598270357,14715.7435881902,4459.31623884551,59.005,9.59674114418093,8.40297494807117,4.0944278920834
2011,"post-mast","SU",10918,"F",8.50848010347236,0,8.50848010347236,0.085,0,2.25218404290891,0.0815799869924228
2013,"non-mast","SU",10918,"F",7406.74101315094,7391.46938219599,15.2716309549504,59.005,8.90821710997926,2.78942315928933,4.0944278920834
2011,"post-mast","SU",10946,"F",200.974663367147,0,200.974663367147,0.085,0,5.30814226065884,0.0815799869924228
2011,"post-mast","KL",10993,"F",19.2422550032375,0,19.2422550032375,0.037,0,3.00777225141671,0.0363319292473902
2012,"non-mast","KL",10993,"F",3709.09736818357,3709.09736818357,0,129.998,8.21881340005051,0,4.87518205590903
2013,"non-mast","KL",10993,"F",2729.69495011913,2729.69495011913,0,152.574,7.91231141626718,0,5.03418253555231
2014,"mast","KL",10993,"F",4329.50737572843,4130.70346561845,198.803910109979,1496.201,8.32644506232508,5.29733643614298,7.31135264394349
2015,"post-mast","KL",10993,"F",2686.06171881927,0,2686.06171881927,0.006,0,7.89620357776713,0.00598207167754747
2011,"post-mast","KL",10995,"F",186.924762888593,31.1541271480988,155.770635740494,0.037,3.47054081408074,5.05478381831553,0.0363319292473902
2012,"non-mast","KL",10995,"F",331.928898805847,303.06551630099,28.8633825048562,129.998,5.71724319233438,3.39663306449174,4.87518205590903
2014,"mast","KL",10995,"F",14358.0601746096,14216.2521728851,141.808001724539,1496.201,9.56221144789733,4.96150108282118,7.31135264394349
2013,"non-mast","SU",11002,"F",2523.484298996,2481.07279817254,42.4115008234622,59.005,7.81684929578267,3.77072440193345,4.0944278920834
2014,"mast","SU",11002,"F",16028.6675180029,15947.5097077852,81.1578102177363,263.342,9.67712066859907,4.40864191260855,5.57724371931451
2015,"post-mast","SU",11002,"F",9857.61961526397,0,9857.61961526397,0.006,0,9.19610143934405,0.00598207167754747
2014,"mast","KL",11020,"F",24666.6292353576,23934.6817803025,731.947455055122,1496.201,10.0831255860795,6.59707401453562,7.31135264394349
2015,"post-mast","KL",11020,"F",32486.1187999896,0,32486.1187999896,0.006,0,10.3885989451368,0.00598207167754747
2016,"non-mast","KL",11020,"F",6684.06561974703,31.088677301149,6652.97694244589,2.342,3.46850323585995,8.80296999135539,1.2065694301732
2009,"non-mast","SU",11078,"M",3292.97814958465,2538.2105145597,754.767635024948,38.197,7.83960849065822,6.62773396785632,3.66860021325556
2010,"mast","SU",11078,"M",9229.19200146777,7193.7126696372,2035.47933183056,1155.84,8.88110168379677,7.61897777816909,7.0534474289533
2012,"non-mast","SU",11078,"M",56658.9725733423,781.143923345712,55877.8286499966,36.241,6.66203876881019,10.9309408512685,3.61741030489474
2010,"mast","SU",11084,"F",16790.9400688114,12453.7968776055,4337.14319120591,1155.84,9.42986111906113,8.37520169941879,7.0534474289533
2009,"non-mast","KL",11150,"F",4166.9463183669,4104.04901544815,62.8973029187457,93.163,8.3199729622411,4.15727715264836,4.54502732310718
2008,"non-mast","KL",11161,"M",1545.42087571707,0,1545.42087571707,43.465,0,7.34369842736138,3.7947023628516
2009,"non-mast","KL",11161,"M",15933.6588839244,5474.19929164913,10459.4595922753,93.163,8.60798395432344,9.2553576747297,4.54502732310718
2008,"non-mast","KL",11162,"M",5642.73128400636,4871.65027462917,771.081009377182,43.465,8.49139327228718,6.64908947894595,3.7947023628516
2009,"non-mast","KL",11176,"F",3316.71190033482,3316.71190033482,0,93.163,8.10703063766611,0,4.54502732310718
2010,"mast","KL",11176,"F",4810.56375080937,2968.80505764235,1841.75869316702,1871.957,7.99625159248508,7.51901901755496,7.53527374435888
2009,"non-mast","KL",11181,"M",29055.4028110376,25206.0246042249,3849.37820681262,93.163,10.1348779887907,8.25592665799278,4.54502732310718
2009,"non-mast","KL",11201,"M",3292.14366403604,2451.84126027859,840.302403757451,93.163,7.8050023296813,6.73495117174685,4.54502732310718
2010,"mast","KL",11201,"M",15985.7324184039,11923.7840170062,4061.9484013977,1871.957,9.38637420381107,8.30966419627571,7.53527374435888
2009,"non-mast","KL",11203,"M",5770.70073371645,2226.26018153528,3544.44055218117,93.163,7.7085274909385,8.17341770548493,4.54502732310718
2011,"post-mast","KL",11220,"F",9407.49920117463,0,9407.49920117463,0.037,0,9.14936873008005,0.0363319292473902
2012,"non-mast","KL",11220,"F",13529.4432956096,10895.3923884998,2634.05090710984,129.998,9.29618703990128,7.87665778037512,4.87518205590903
2009,"non-mast","KL",11254,"F",12.3891106122035,12.3891106122035,0,93.163,2.59444173570494,0,4.54502732310718
2009,"non-mast","KL",11256,"F",4429.23112586426,4319.71716945553,109.513956408732,93.163,8.37117667890782,4.7051418153238,4.54502732310718
2010,"mast","KL",11256,"F",72666.1507249301,67891.0989702449,4775.0517546852,1871.957,11.1256749440404,8.47136949142185,7.53527374435888
2011,"post-mast","KL",11256,"F",8108.79970476566,0,8108.79970476566,0.037,0,9.00082844948828,0.0363319292473902
2012,"non-mast","KL",11256,"F",11122.2851912591,0,11122.2851912591,129.998,0,9.31679595504209,4.87518205590903
2013,"non-mast","KL",11256,"F",28346.2850807216,26530.7172346423,1815.56784607928,152.574,10.1860961730673,7.50470420085602,5.03418253555231
2014,"mast","KL",11256,"F",34143.1453001408,31768.3085118756,2374.83678826521,1496.201,10.3662559615837,7.77310498631557,7.31135264394349
2015,"post-mast","KL",11256,"F",21400.1473654798,0,21400.1473654798,0.006,0,9.97119981478204,0.00598207167754747
2016,"non-mast","KL",11256,"F",0,0,0,2.342,0,0,1.2065694301732
2010,"mast","KL",11266,"M",58627.0276545068,54187.5645359027,4439.46311860408,1871.957,10.9002251787445,8.39851395597869,7.53527374435888
2013,"non-mast","KL",11266,"M",77630.8161403827,46259.0682511759,31371.7478892068,152.574,10.7420344111664,10.3536948934341,5.03418253555231
2011,"post-mast","KL",11272,"F",3907.24677982406,0,3907.24677982406,0.037,0,8.27084415851391,0.0363319292473902
2012,"non-mast","KL",11272,"F",98.174770424681,0,98.174770424681,129.998,0,4.59688365154701,4.87518205590903
2013,"non-mast","KL",11272,"F",10052.3983597865,10036.0795312804,16.318828506147,152.574,9.21404146759235,2.8517942626335,5.03418253555231
2009,"non-mast","KL",11288,"F",20.5621602500582,15.4216201875436,5.14054006251455,93.163,2.79859877074874,1.81491269635523,4.54502732310718
2009,"non-mast","SU",11308,"F",38.2172564647633,9.55431411619083,28.6629423485725,38.197,2.35653469730264,3.38989853437121,3.66860021325556
2009,"non-mast","SU",11313,"F",291.592703546084,272.980403319738,18.6123002263458,38.197,5.61305658309946,2.97615693197009,3.66860021325556
2010,"mast","SU",11313,"F",918.206811166392,471.511605734093,446.695205432299,1155.84,6.15806230903234,6.1041126558581,7.0534474289533
2009,"non-mast","KL",11319,"F",223.183978098775,55.7959945246937,167.387983574081,93.163,4.03946580430908,5.12627074281378,4.54502732310718
2010,"mast","KL",11319,"F",17357.2039633901,17106.121988029,251.081975361122,1871.957,9.74725014631066,5.52975433366523,7.53527374435888
2009,"non-mast","KL",11323,"F",75.2605062998649,0,75.2605062998649,93.163,0,4.3341551935349,4.54502732310718
2009,"non-mast","KL",11325,"F",5026.20736112414,4772.54829803937,253.65906308477,93.163,8.47084518533796,5.5399256430557,4.54502732310718
2009,"non-mast","KL",11342,"F",18.6532063806894,0,18.6532063806894,93.163,0,2.97824049959354,4.54502732310718
2011,"post-mast","KL",11343,"F",23056.3448342363,0,23056.3448342363,0.037,0,10.0457396455735,0.0363319292473902
2010,"mast","KL",11344,"F",29935.8164262059,21443.8024133953,8492.01401281057,1871.957,9.97323758326411,9.04699922370336,7.53527374435888
2011,"post-mast","KL",11344,"F",1401.4775727358,0,1401.4775727358,0.037,0,7.24599564634978,0.0363319292473902
